R_GM,R_ST,R_BF,L_GM,L_ST,L_BF,
2.00E-05,3.58E-05,-3.74E-05,-4.83E-06,3.66E-05,-1.42E-05,
2.11E-05,3.97E-05,-3.64E-05,-8.71E-06,4.66E-05,-1.60E-05,
2.12E-05,3.46E-05,-3.77E-05,-1.05E-05,3.48E-05,-1.83E-05,
2.10E-05,2.36E-05,-4.26E-05,-1.13E-05,1.44E-05,-1.75E-05,
2.04E-05,1.75E-05,-4.85E-05,-1.32E-05,7.12E-06,-1.11E-05,
1.87E-05,2.41E-05,-5.20E-05,-1.72E-05,1.67E-05,2.31E-06,
1.71E-05,3.71E-05,-5.37E-05,-2.36E-05,3.64E-05,1.83E-05,
1.63E-05,4.59E-05,-5.41E-05,-3.10E-05,5.54E-05,2.73E-05,
1.53E-05,4.71E-05,-5.47E-05,-3.64E-05,5.12E-05,2.58E-05,
1.27E-05,4.19E-05,-5.53E-05,-3.51E-05,1.48E-05,1.73E-05,
1.04E-05,3.16E-05,-5.45E-05,-2.72E-05,-2.64E-05,6.48E-06,
1.11E-05,1.94E-05,-5.23E-05,-1.73E-05,-3.51E-05,-1.67E-06,
1.41E-05,1.14E-05,-4.66E-05,-1.05E-05,-1.33E-05,-4.83E-06,
1.58E-05,9.43E-06,-3.86E-05,-7.88E-06,-1.64E-06,-6.90E-06,
1.57E-05,7.45E-06,-3.48E-05,-9.33E-06,-2.26E-05,-7.01E-06,
1.57E-05,2.13E-06,-3.56E-05,-1.33E-05,-6.21E-05,-3.11E-06,
1.49E-05,-4.89E-06,-3.89E-05,-1.50E-05,-9.21E-05,5.14E-06,
1.42E-05,-1.28E-05,-4.39E-05,-1.45E-05,-9.42E-05,1.53E-05,
1.48E-05,-2.03E-05,-4.69E-05,-1.66E-05,-7.41E-05,2.32E-05,
1.51E-05,-2.30E-05,-4.61E-05,-2.03E-05,-4.83E-05,2.57E-05,
1.38E-05,-2.06E-05,-4.51E-05,-2.17E-05,-2.54E-05,2.18E-05,
1.16E-05,-1.42E-05,-4.63E-05,-1.99E-05,-5.50E-06,1.47E-05,
9.81E-06,-5.53E-06,-4.93E-05,-1.66E-05,2.17E-05,4.19E-06,
1.10E-05,1.97E-06,-5.10E-05,-1.05E-05,5.67E-05,-6.93E-06,
1.37E-05,5.74E-06,-4.90E-05,-4.03E-06,8.02E-05,-1.54E-05,
1.51E-05,9.01E-06,-4.45E-05,-1.56E-06,6.61E-05,-2.05E-05,
1.47E-05,1.75E-05,-4.27E-05,-2.69E-06,1.41E-05,-2.48E-05,
1.50E-05,3.06E-05,-4.35E-05,-4.24E-06,-4.35E-05,-2.79E-05,
1.59E-05,3.95E-05,-4.27E-05,-5.35E-06,-7.29E-05,-2.67E-05,
1.68E-05,3.39E-05,-4.21E-05,-7.42E-06,-7.38E-05,-2.00E-05,
1.78E-05,1.74E-05,-4.37E-05,-9.43E-06,-7.13E-05,-7.06E-06,
1.94E-05,2.21E-06,-4.50E-05,-1.10E-05,-7.56E-05,9.10E-06,
2.02E-05,-4.09E-06,-4.46E-05,-1.34E-05,-7.24E-05,2.41E-05,
1.88E-05,-4.65E-06,-4.48E-05,-1.89E-05,-5.26E-05,3.67E-05,
1.68E-05,-6.14E-06,-4.55E-05,-2.66E-05,-3.11E-05,4.50E-05,
1.78E-05,-1.04E-05,-4.75E-05,-3.24E-05,-2.11E-05,4.24E-05,
2.06E-05,-1.49E-05,-4.98E-05,-3.43E-05,-1.71E-05,3.07E-05,
2.03E-05,-1.74E-05,-5.25E-05,-3.38E-05,-9.31E-06,2.11E-05,
1.83E-05,-1.62E-05,-5.38E-05,-3.15E-05,-9.40E-06,1.98E-05,
1.81E-05,-1.17E-05,-5.31E-05,-2.85E-05,-2.56E-05,2.31E-05,
2.17E-05,-9.26E-06,-5.24E-05,-2.40E-05,-3.16E-05,2.77E-05,
2.46E-05,-1.19E-05,-5.38E-05,-1.75E-05,-1.70E-06,3.29E-05,
2.32E-05,-1.07E-05,-5.54E-05,-1.32E-05,4.94E-05,3.55E-05,
1.96E-05,-6.39E-06,-5.29E-05,-1.03E-05,8.06E-05,3.16E-05,
1.62E-05,-7.31E-06,-4.86E-05,-5.66E-06,6.49E-05,2.19E-05,
1.26E-05,-9.80E-06,-4.58E-05,-4.34E-06,1.21E-05,5.69E-06,
8.77E-06,-1.14E-05,-4.47E-05,-5.80E-06,-4.52E-05,-1.25E-05,
6.16E-06,-1.42E-05,-4.43E-05,-6.80E-06,-7.50E-05,-3.19E-05,
5.14E-06,-1.68E-05,-4.21E-05,-3.87E-06,-6.74E-05,-5.13E-05,
4.47E-06,-1.57E-05,-3.92E-05,1.27E-06,-4.15E-05,-5.71E-05,
3.00E-06,-1.56E-05,-3.75E-05,5.17E-06,-2.43E-05,-4.55E-05,
1.79E-06,-2.10E-05,-3.74E-05,6.91E-06,-2.59E-05,-2.67E-05,
1.01E-06,-2.66E-05,-3.84E-05,8.35E-06,-3.41E-05,-1.02E-05,
-6.48E-07,-2.54E-05,-4.09E-05,1.14E-05,-2.71E-05,5.92E-07,
-2.73E-06,-1.71E-05,-4.53E-05,1.47E-05,-3.51E-06,5.07E-06,
-4.56E-06,-7.86E-06,-4.92E-05,1.81E-05,1.90E-05,5.42E-06,
-5.13E-06,-1.49E-06,-5.01E-05,2.04E-05,2.55E-05,3.67E-06,
-4.61E-06,3.35E-06,-4.79E-05,2.19E-05,1.53E-05,3.02E-06,
-4.64E-06,6.02E-06,-4.37E-05,2.47E-05,1.91E-06,4.71E-06,
-4.70E-06,5.17E-06,-3.97E-05,2.86E-05,-7.42E-08,6.44E-06,
-3.25E-06,-6.34E-07,-3.97E-05,3.04E-05,1.19E-05,4.99E-06,
-1.54E-07,-1.37E-05,-4.29E-05,3.00E-05,2.83E-05,1.45E-06,
3.31E-06,-2.97E-05,-4.59E-05,2.85E-05,3.47E-05,-1.76E-06,
5.79E-06,-3.74E-05,-4.74E-05,2.71E-05,2.79E-05,-3.87E-06,
6.08E-06,-3.17E-05,-4.68E-05,2.74E-05,2.14E-05,-5.04E-06,
5.97E-06,-1.91E-05,-4.53E-05,3.07E-05,2.20E-05,-2.99E-06,
8.36E-06,-6.66E-06,-4.55E-05,3.58E-05,2.52E-05,1.17E-06,
1.01E-05,-2.10E-07,-4.57E-05,4.10E-05,2.81E-05,2.00E-06,
9.78E-06,4.99E-07,-4.51E-05,4.51E-05,3.15E-05,-7.62E-07,
9.92E-06,2.36E-06,-4.57E-05,4.88E-05,2.60E-05,-5.48E-06,
9.00E-06,7.14E-06,-4.44E-05,5.29E-05,-1.72E-05,-6.47E-06,
6.68E-06,1.10E-05,-4.09E-05,5.49E-05,-9.63E-05,-8.19E-07,
5.04E-06,1.04E-05,-3.90E-05,5.20E-05,-0.000147098,9.77E-06,
6.36E-06,6.70E-06,-3.84E-05,4.39E-05,-0.000128302,2.60E-05,
9.14E-06,5.75E-06,-3.95E-05,3.40E-05,-7.25E-05,5.32E-05,
1.27E-05,1.22E-05,-3.99E-05,2.37E-05,-3.22E-05,0.000175694,
1.62E-05,2.15E-05,-3.86E-05,1.37E-05,-2.33E-05,0.000675142,
1.56E-05,2.95E-05,-3.72E-05,8.52E-06,-2.80E-05,0.0017333,
1.26E-05,3.29E-05,-3.68E-05,6.63E-06,-3.12E-05,0.00298421,
1.10E-05,3.30E-05,-3.59E-05,6.26E-06,-3.11E-05,0.0039357,
9.57E-06,3.34E-05,-3.60E-05,6.33E-06,-2.73E-05,0.00448558,
6.80E-06,3.38E-05,-3.81E-05,6.26E-06,-1.97E-05,0.0047703,
5.58E-06,3.30E-05,-4.07E-05,6.65E-06,-8.91E-06,0.00490534,
6.36E-06,3.15E-05,-4.23E-05,8.04E-06,5.52E-06,0.0049061,
6.16E-06,3.03E-05,-4.28E-05,8.43E-06,2.09E-05,0.00478072,
4.91E-06,2.88E-05,-4.32E-05,4.96E-06,2.85E-05,0.00456841,
5.07E-06,3.07E-05,-4.48E-05,-2.75E-06,2.02E-05,0.00432237,
5.18E-06,3.53E-05,-4.81E-05,-1.20E-05,3.98E-06,0.00406751,
3.68E-06,3.46E-05,-5.20E-05,-1.88E-05,2.55E-07,0.00380108,
3.89E-06,2.71E-05,-5.66E-05,-2.19E-05,2.10E-05,0.00350847,
5.30E-06,2.08E-05,-5.98E-05,-2.00E-05,5.32E-05,0.003187,
3.84E-06,1.89E-05,-5.90E-05,-1.64E-05,7.38E-05,0.00284347,
8.99E-07,1.73E-05,-5.64E-05,-1.33E-05,7.35E-05,0.00248385,
2.78E-07,1.67E-05,-5.77E-05,-8.45E-06,4.64E-05,0.00212668,
2.07E-06,2.04E-05,-6.03E-05,-1.69E-06,-4.88E-06,0.0017886,
5.44E-06,2.36E-05,-5.85E-05,3.89E-06,-4.00E-05,0.00145664,
8.90E-06,2.21E-05,-5.26E-05,7.70E-06,-3.83E-05,0.00113952,
1.16E-05,1.58E-05,-4.75E-05,8.97E-06,-3.63E-05,0.00083861,
1.24E-05,7.32E-06,-4.51E-05,5.97E-06,-4.98E-05,0.000539934,
9.74E-06,1.22E-06,-4.44E-05,3.16E-06,-5.69E-05,0.000252026,
8.82E-06,1.54E-06,-4.23E-05,3.75E-06,-4.58E-05,-2.54E-05,
1.27E-05,6.49E-06,-3.85E-05,3.27E-06,-2.47E-05,-0.000274288,
1.71E-05,8.94E-06,-3.64E-05,2.32E-06,-1.50E-05,-0.000499743,
1.75E-05,8.39E-06,-4.04E-05,2.02E-06,-2.35E-05,-0.00070947,
1.48E-05,1.04E-05,-4.89E-05,3.37E-06,-4.28E-05,-0.00091362,
1.20E-05,1.24E-05,-5.49E-05,5.56E-06,-5.78E-05,-0.00111113,
1.09E-05,7.99E-06,-5.41E-05,7.55E-06,-5.47E-05,-0.00130458,
1.20E-05,1.29E-06,-4.89E-05,8.59E-06,-4.17E-05,-0.0014921,
1.37E-05,-2.72E-07,-4.48E-05,8.40E-06,-4.87E-05,-0.00166811,
1.43E-05,2.74E-06,-4.34E-05,7.66E-06,-8.48E-05,-0.00182678,
1.45E-05,5.15E-06,-4.40E-05,6.10E-06,-0.000113655,-0.00196467,
1.59E-05,4.28E-06,-4.45E-05,5.01E-06,-9.87E-05,-0.00209108,
1.84E-05,-1.33E-06,-4.42E-05,5.24E-06,-5.00E-05,-0.00221318,
2.03E-05,-7.86E-06,-4.46E-05,6.50E-06,-4.89E-06,-0.00233091,
1.99E-05,-8.20E-06,-4.80E-05,7.52E-06,2.21E-05,-0.00243767,
1.78E-05,-2.91E-06,-5.28E-05,8.43E-06,3.85E-05,-0.00253751,
1.55E-05,1.04E-06,-5.42E-05,1.01E-05,5.13E-05,-0.0026304,
1.44E-05,2.49E-06,-4.81E-05,1.33E-05,5.67E-05,-0.00271896,
1.31E-05,1.50E-06,-3.53E-05,1.64E-05,4.51E-05,-0.00280127,
1.19E-05,4.89E-07,-2.47E-05,1.65E-05,1.65E-05,-0.00287461,
9.86E-06,3.04E-06,-2.50E-05,1.44E-05,-4.52E-06,-0.00293803,
6.63E-06,4.52E-06,-3.33E-05,1.46E-05,7.27E-06,-0.00299462,
4.24E-06,-1.17E-06,-4.22E-05,1.67E-05,4.66E-05,-0.00303996,
5.11E-06,-9.73E-06,-4.71E-05,1.86E-05,7.65E-05,-0.00306736,
7.78E-06,-1.23E-05,-4.77E-05,2.00E-05,7.77E-05,-0.0030727,
9.15E-06,-9.52E-06,-4.66E-05,2.16E-05,5.41E-05,-0.00305897,
9.55E-06,-6.43E-06,-4.75E-05,2.17E-05,1.29E-05,-0.00302978,
9.95E-06,-5.95E-06,-5.05E-05,1.94E-05,-2.15E-05,-0.00299236,
1.19E-05,-4.21E-06,-5.28E-05,1.62E-05,-3.41E-05,-0.00294723,
1.34E-05,2.08E-06,-5.09E-05,1.32E-05,-2.75E-05,-0.00289456,
1.31E-05,9.13E-06,-4.83E-05,9.95E-06,-1.85E-05,-0.0028339,
1.14E-05,1.45E-05,-4.91E-05,6.36E-06,-2.07E-05,-0.00277107,
1.26E-05,1.78E-05,-5.05E-05,3.02E-06,-3.13E-05,-0.00270748,
1.50E-05,2.00E-05,-4.83E-05,-8.54E-07,-4.07E-05,-0.00264291,
1.49E-05,2.35E-05,-4.29E-05,-4.90E-06,-3.34E-05,-0.00257741,
1.26E-05,2.62E-05,-3.70E-05,-7.08E-06,-1.29E-05,-0.00251517,
1.17E-05,2.34E-05,-3.25E-05,-7.30E-06,-1.15E-05,-0.00246031,
1.31E-05,1.53E-05,-3.37E-05,-8.94E-06,-4.17E-05,-0.00240772,
1.35E-05,2.48E-06,-3.96E-05,-1.20E-05,-7.30E-05,-0.00235361,
1.15E-05,-1.42E-05,-4.53E-05,-1.56E-05,-7.61E-05,-0.00229506,
8.24E-06,-2.57E-05,-4.72E-05,-1.92E-05,-5.47E-05,-0.00223179,
6.09E-06,-2.57E-05,-4.52E-05,-2.20E-05,-3.01E-05,-0.00216422,
5.78E-06,-1.89E-05,-4.22E-05,-2.24E-05,-2.17E-05,-0.00209812,
5.87E-06,-1.14E-05,-4.37E-05,-1.90E-05,-3.36E-05,-0.00203329,
4.09E-06,-5.68E-06,-4.94E-05,-1.29E-05,-4.98E-05,-0.00196954,
2.40E-06,2.53E-06,-5.22E-05,-9.86E-06,-4.95E-05,-0.00190837,
2.86E-06,1.63E-05,-4.96E-05,-1.22E-05,-3.27E-05,-0.00185387,
6.46E-06,3.08E-05,-4.54E-05,-1.56E-05,-2.46E-05,-0.00180452,
8.39E-06,3.85E-05,-4.07E-05,-1.61E-05,-3.15E-05,-0.00175716,
8.12E-06,3.11E-05,-3.31E-05,-1.38E-05,-2.56E-05,-0.00169976,
7.19E-06,1.42E-05,-2.67E-05,-9.83E-06,1.44E-05,-0.00164116,
7.27E-06,-1.15E-06,-2.41E-05,-4.99E-06,5.92E-05,-0.00160328,
8.71E-06,-5.36E-06,-2.61E-05,6.67E-07,3.71E-05,-0.00160919,
9.57E-06,2.08E-06,-3.13E-05,4.94E-06,-4.98E-05,-0.0016465,
9.98E-06,8.99E-06,-3.31E-05,5.22E-06,-9.15E-05,-0.00166995,
1.12E-05,1.08E-05,-3.19E-05,4.51E-06,-2.04E-05,-0.00166385,
1.41E-05,1.18E-05,-3.19E-05,6.43E-06,9.99E-05,-0.00164243,
1.67E-05,1.29E-05,-3.48E-05,9.62E-06,0.000169116,-0.00162829,
1.66E-05,1.44E-05,-3.82E-05,1.15E-05,0.00016446,-0.00162836,
1.44E-05,1.66E-05,-3.99E-05,1.27E-05,0.000133016,-0.00163514,
1.15E-05,1.73E-05,-3.89E-05,1.34E-05,0.000108182,-0.00163462,
8.27E-06,1.88E-05,-3.71E-05,1.42E-05,7.75E-05,-0.00161762,
4.74E-06,2.05E-05,-3.59E-05,1.66E-05,2.88E-05,-0.00158006,
5.72E-07,2.14E-05,-3.64E-05,2.05E-05,-3.62E-05,-0.00152849,
-1.43E-06,2.05E-05,-4.02E-05,2.49E-05,-0.000116519,-0.00147011,
-6.08E-07,1.79E-05,-4.62E-05,2.88E-05,-0.000189718,-0.00139952,
3.47E-07,1.33E-05,-4.98E-05,3.06E-05,-0.000200854,-0.00130146,
2.59E-08,7.53E-06,-4.82E-05,3.09E-05,-0.000132636,-0.00117264,
1.02E-07,6.45E-06,-4.43E-05,3.20E-05,-4.48E-05,-0.00102937,
1.16E-06,1.22E-05,-4.17E-05,3.41E-05,-1.56E-06,-0.000889346,
3.90E-06,1.78E-05,-4.28E-05,3.60E-05,-4.60E-06,-0.000759804,
6.35E-06,1.79E-05,-4.55E-05,3.77E-05,-1.38E-05,-0.00063961,
4.63E-06,1.40E-05,-4.58E-05,3.98E-05,-5.84E-06,-0.000522594,
1.92E-06,8.00E-06,-4.37E-05,4.00E-05,1.02E-05,-0.000400483,
2.87E-06,3.08E-06,-4.40E-05,3.97E-05,1.83E-05,-0.000273665,
6.44E-06,-4.46E-06,-4.66E-05,4.10E-05,1.32E-05,-0.00015021,
9.87E-06,-1.85E-05,-4.94E-05,4.41E-05,-3.56E-06,-3.16E-05,
1.03E-05,-2.62E-05,-5.38E-05,4.72E-05,-2.73E-05,7.69E-05,
1.05E-05,-1.58E-05,-5.65E-05,4.58E-05,-4.23E-05,0.000182754,
1.13E-05,2.09E-06,-5.52E-05,3.87E-05,-3.52E-05,0.000291982,
9.05E-06,8.80E-06,-5.22E-05,3.04E-05,-1.46E-05,0.000392429,
5.73E-06,2.63E-06,-4.88E-05,2.58E-05,1.09E-05,0.000491988,
4.41E-06,-3.37E-06,-4.66E-05,2.18E-05,3.27E-05,0.00060197,
5.13E-06,-3.23E-06,-4.61E-05,1.75E-05,3.76E-05,0.000719921,
4.81E-06,3.09E-07,-4.73E-05,1.32E-05,3.01E-05,0.000827699,
4.38E-06,-4.56E-07,-4.90E-05,8.47E-06,3.62E-05,0.000919948,
3.45E-06,-6.14E-06,-5.04E-05,5.28E-06,6.38E-05,0.000999677,
7.63E-07,-1.02E-05,-4.87E-05,7.25E-06,7.36E-05,0.00107126,
-2.24E-06,-9.17E-06,-4.21E-05,9.38E-06,1.61E-05,0.00113622,
-3.38E-06,-2.52E-06,-3.24E-05,7.45E-06,-7.66E-05,0.00119793,
-6.14E-07,3.62E-06,-2.33E-05,5.76E-06,-0.000115336,0.00126191,
3.96E-06,2.29E-06,-1.86E-05,7.41E-06,-7.56E-05,0.00132567,
7.50E-06,-5.40E-06,-1.96E-05,1.05E-05,-1.49E-05,0.00138393,
9.51E-06,-1.49E-05,-2.53E-05,9.72E-06,2.00E-05,0.00143288,
1.09E-05,-1.99E-05,-3.02E-05,4.81E-06,3.45E-05,0.00147735,
1.25E-05,-1.27E-05,-3.13E-05,1.70E-06,4.32E-05,0.00152018,
1.62E-05,1.80E-06,-2.93E-05,3.78E-06,4.29E-05,0.00155837,
2.11E-05,1.10E-05,-2.92E-05,6.28E-06,3.21E-05,0.00158612,
2.37E-05,1.26E-05,-3.15E-05,4.85E-06,2.38E-05,0.00160611,
2.25E-05,1.12E-05,-3.18E-05,1.01E-07,2.51E-05,0.00162064,
1.85E-05,1.14E-05,-2.82E-05,-4.47E-06,2.70E-05,0.00163019,
1.38E-05,1.75E-05,-2.47E-05,-5.94E-06,2.52E-05,0.00163615,
1.07E-05,2.34E-05,-2.50E-05,-6.38E-06,2.58E-05,0.00164273,
1.09E-05,2.01E-05,-2.81E-05,-9.26E-06,2.61E-05,0.00164621,
1.16E-05,1.36E-05,-2.93E-05,-1.41E-05,7.67E-06,0.00164219,
1.23E-05,1.08E-05,-2.83E-05,-2.09E-05,-4.69E-05,0.00163381,
1.54E-05,1.12E-05,-3.04E-05,-2.47E-05,-0.000104026,0.00162063,
1.63E-05,1.35E-05,-3.52E-05,-2.34E-05,-0.000110164,0.00160219,
1.58E-05,1.75E-05,-3.63E-05,-1.95E-05,-6.44E-05,0.00158119,
1.53E-05,1.92E-05,-3.57E-05,-1.59E-05,-2.81E-06,0.00155466,
1.26E-05,1.61E-05,-3.69E-05,-1.32E-05,4.21E-05,0.00152519,
8.85E-06,1.05E-05,-4.02E-05,-1.20E-05,5.21E-05,0.00149383,
7.35E-06,5.75E-06,-4.37E-05,-1.21E-05,1.84E-05,0.0014582,
9.90E-06,6.24E-06,-4.50E-05,-1.02E-05,-5.95E-05,0.0014181,
1.34E-05,1.05E-05,-4.38E-05,-6.70E-06,-0.000149379,0.00138343,
1.51E-05,1.73E-05,-4.10E-05,-4.62E-06,-0.00018619,0.0013632,
1.47E-05,2.41E-05,-4.00E-05,-4.63E-06,-0.000144326,0.00135135,
1.30E-05,2.68E-05,-4.25E-05,-5.16E-06,-6.22E-05,0.00133682,
1.18E-05,2.35E-05,-4.58E-05,-6.42E-06,1.02E-05,0.00131196,
1.21E-05,1.60E-05,-4.51E-05,-5.50E-06,4.72E-05,0.00127706,
1.29E-05,7.34E-06,-4.13E-05,-9.62E-07,4.87E-05,0.00123667,
1.43E-05,7.86E-07,-4.05E-05,1.71E-06,3.41E-05,0.00119877,
1.62E-05,5.69E-08,-4.56E-05,-4.97E-07,2.55E-05,0.00116694,
1.74E-05,4.51E-06,-5.15E-05,-3.70E-06,2.33E-05,0.00113802,
1.70E-05,8.83E-06,-5.30E-05,-6.45E-06,1.32E-05,0.00110451,
1.59E-05,8.39E-06,-5.12E-05,-8.68E-06,-4.19E-06,0.00106611,
1.42E-05,4.72E-06,-4.79E-05,-1.09E-05,-1.42E-05,0.00102679,
1.25E-05,2.47E-06,-4.54E-05,-1.28E-05,-1.11E-05,0.000993706,
1.31E-05,7.25E-06,-4.51E-05,-1.39E-05,2.67E-06,0.000967706,
1.47E-05,1.59E-05,-4.64E-05,-1.43E-05,2.11E-05,0.000940709,
1.45E-05,2.01E-05,-4.93E-05,-1.29E-05,3.36E-05,0.000902396,
1.57E-05,1.78E-05,-5.18E-05,-8.83E-06,2.19E-05,0.000850642,
1.98E-05,1.45E-05,-5.17E-05,-5.47E-06,-1.36E-05,0.000789012,
2.25E-05,1.32E-05,-4.77E-05,-4.53E-06,-3.67E-05,0.000726631,
2.12E-05,9.77E-06,-4.30E-05,-3.68E-06,-2.92E-05,0.000675621,
1.96E-05,5.43E-06,-4.06E-05,-5.80E-06,-2.54E-06,0.000637762,
1.88E-05,4.11E-06,-4.14E-05,-1.14E-05,2.49E-05,0.00060792,
1.92E-05,2.39E-06,-4.37E-05,-1.83E-05,4.15E-05,0.000580458,
2.07E-05,-3.98E-06,-4.69E-05,-2.31E-05,4.67E-05,0.000550026,
2.15E-05,-9.76E-06,-5.25E-05,-2.52E-05,4.39E-05,0.000515303,
2.12E-05,-1.00E-05,-5.77E-05,-2.65E-05,3.82E-05,0.000481517,
2.00E-05,-5.90E-06,-5.91E-05,-2.73E-05,3.61E-05,0.000455886,
1.82E-05,6.57E-07,-5.72E-05,-2.76E-05,3.72E-05,0.000434908,
1.67E-05,5.30E-06,-5.46E-05,-2.53E-05,3.50E-05,0.000410448,
1.59E-05,4.99E-06,-5.39E-05,-2.04E-05,3.09E-05,0.000384699,
1.52E-05,5.85E-06,-5.55E-05,-1.32E-05,2.85E-05,0.000360349,
1.54E-05,1.54E-05,-5.58E-05,-5.16E-06,2.66E-05,0.000336922,
1.56E-05,2.94E-05,-5.04E-05,2.47E-07,2.26E-05,0.000313552,
1.47E-05,3.92E-05,-3.94E-05,9.86E-07,2.01E-05,0.000290454,
1.36E-05,4.14E-05,-2.73E-05,-8.67E-07,1.58E-05,0.000265205,
1.52E-05,3.75E-05,-1.84E-05,-4.68E-06,-5.99E-06,0.000237164,
1.96E-05,3.04E-05,-1.56E-05,-1.10E-05,-4.64E-05,0.000213076,
2.34E-05,2.29E-05,-1.83E-05,-1.61E-05,-7.67E-05,0.000202571,
2.53E-05,1.48E-05,-2.15E-05,-1.76E-05,-6.84E-05,0.000203726,
2.55E-05,4.99E-06,-2.07E-05,-1.66E-05,-2.44E-05,0.000205824,
2.46E-05,-1.76E-07,-1.95E-05,-1.34E-05,2.41E-05,0.000202491,
2.45E-05,7.12E-07,-2.17E-05,-8.25E-06,4.60E-05,0.000193526,
2.41E-05,3.69E-06,-2.76E-05,-1.04E-06,3.55E-05,0.000187169,
2.13E-05,9.43E-06,-3.25E-05,4.17E-06,8.49E-06,0.000186502,
1.97E-05,1.10E-05,-3.22E-05,5.30E-06,-2.20E-05,0.000187613,
1.94E-05,7.18E-06,-3.08E-05,4.72E-06,-4.52E-05,0.000190773,
1.81E-05,5.52E-06,-3.33E-05,3.08E-06,-5.20E-05,0.000193047,
1.66E-05,6.55E-06,-3.70E-05,1.50E-06,-5.29E-05,0.000194998,
1.27E-05,6.06E-06,-3.77E-05,7.75E-07,-7.03E-05,0.000200556,
8.54E-06,3.75E-06,-3.59E-05,1.55E-06,-0.000100502,0.000207542,
7.30E-06,4.01E-06,-3.53E-05,2.66E-06,-0.000115079,0.000208883,
7.85E-06,6.04E-06,-3.96E-05,6.81E-06,-1.00E-04,0.000204862,
7.83E-06,7.24E-06,-4.55E-05,1.20E-05,-6.51E-05,0.000200882,
8.04E-06,6.10E-06,-4.75E-05,1.19E-05,-3.06E-05,0.000195376,
9.65E-06,6.27E-06,-4.58E-05,3.88E-06,-9.38E-06,0.000187499,
1.10E-05,8.86E-06,-4.48E-05,-6.21E-06,-1.93E-06,0.000180014,
1.04E-05,8.56E-06,-4.64E-05,-9.08E-06,4.75E-06,0.000178287,
7.26E-06,3.47E-06,-4.98E-05,-3.41E-06,2.53E-05,0.000181471,
4.01E-06,-1.49E-06,-5.06E-05,6.21E-06,6.12E-05,0.000182592,
2.31E-06,-4.99E-06,-4.43E-05,1.41E-05,8.95E-05,0.000177941,
1.50E-06,-6.26E-06,-3.30E-05,1.67E-05,7.72E-05,0.000174213,
1.48E-06,-3.95E-06,-2.36E-05,1.55E-05,1.36E-05,0.000179944,
2.71E-06,-3.04E-06,-2.03E-05,1.61E-05,-7.91E-05,0.000194464,
4.01E-06,-4.83E-06,-2.22E-05,1.97E-05,-0.00016283,0.000210013,
4.82E-06,-3.06E-06,-2.62E-05,2.61E-05,-0.000200871,0.000221892,
4.98E-06,3.21E-06,-2.88E-05,3.26E-05,-0.000177924,0.000231288,
4.69E-06,7.27E-06,-2.99E-05,3.47E-05,-0.000113993,0.000239782,
4.11E-06,8.53E-06,-3.24E-05,3.17E-05,-3.85E-05,0.000247347,
5.43E-06,8.37E-06,-3.57E-05,2.60E-05,1.98E-05,0.000248741,
7.37E-06,8.41E-06,-3.78E-05,1.86E-05,2.73E-05,0.000240691,
5.82E-06,1.17E-05,-3.81E-05,1.32E-05,-2.07E-05,0.000231593,
2.38E-06,1.49E-05,-3.91E-05,9.75E-06,-5.35E-05,0.000227609,
6.04E-07,1.50E-05,-4.33E-05,1.03E-05,-2.59E-05,0.000226101,
1.05E-06,1.30E-05,-4.58E-05,1.25E-05,1.13E-05,0.000223136,
2.86E-06,1.11E-05,-4.15E-05,1.16E-05,1.69E-05,0.000215662,
4.01E-06,1.34E-05,-3.54E-05,9.16E-06,-4.47E-06,0.000206328,
5.54E-06,1.86E-05,-3.37E-05,5.95E-06,-3.12E-05,0.000197998,
8.38E-06,2.09E-05,-3.68E-05,1.94E-06,-4.33E-05,0.000189472,
1.08E-05,1.44E-05,-4.22E-05,-3.12E-06,-1.96E-05,0.000177051,
1.17E-05,2.33E-06,-4.48E-05,-7.40E-06,2.53E-05,0.000162294,
1.08E-05,-5.83E-06,-4.33E-05,-1.22E-05,3.15E-05,0.000150487,
1.02E-05,-5.39E-06,-4.21E-05,-1.89E-05,-2.45E-05,0.000148353,
9.91E-06,8.32E-07,-4.45E-05,-2.26E-05,-8.03E-05,0.000158719,
1.03E-05,6.91E-06,-4.64E-05,-2.21E-05,-7.31E-05,0.000172773,
1.16E-05,1.09E-05,-4.53E-05,-2.34E-05,-3.36E-05,0.000175115,
1.25E-05,1.25E-05,-4.31E-05,-2.94E-05,-2.18E-05,0.000161938,
1.19E-05,9.10E-06,-4.05E-05,-3.61E-05,-3.85E-05,0.000143597,
1.15E-05,4.27E-07,-3.83E-05,-3.86E-05,-5.00E-05,0.000129944,
1.29E-05,-6.16E-06,-3.79E-05,-3.66E-05,-5.50E-05,0.000122579,
1.47E-05,-6.87E-06,-3.88E-05,-3.34E-05,-6.79E-05,0.00011707,
1.45E-05,-4.15E-06,-4.08E-05,-3.44E-05,-8.30E-05,0.000112641,
1.19E-05,2.40E-06,-4.40E-05,-4.10E-05,-8.13E-05,0.000110947,
1.09E-05,7.31E-06,-4.33E-05,-4.71E-05,-6.48E-05,0.000109471,
1.14E-05,8.98E-06,-3.81E-05,-4.91E-05,-4.79E-05,0.00010672,
8.95E-06,1.42E-05,-3.59E-05,-4.93E-05,-3.30E-05,0.000105607,
